Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainfallTomorrow,RainTomorrow
2008-12-01,Albury,13.4,22.9,0.6,,,W,44.0,W,WNW,20.0,24.0,71,22,1007.7,1007.1,8.0,,16.9,21.8,No,0.0,No
2008-12-02,Albury,7.4,25.1,0.0,,,WNW,44.0,NNW,WSW,4.0,22.0,44,25,1010.6,1007.8,,,17.2,24.3,No,0.0,No
2008-12-03,Albury,12.9,25.7,0.0,,,WSW,46.0,W,WSW,19.0,26.0,38,30,1007.6,1008.7,,2.0,21.0,23.2,No,0.0,No
2008-12-04,Albury,9.2,28.0,0.0,,,NE,24.0,SE,E,11.0,9.0,45,16,1017.6,1012.8,,,18.1,26.5,No,1.0,No
2008-12-05,Albury,17.5,32.3,1.0,,,W,41.0,ENE,NW,7.0,20.0,82,33,1010.8,1006.0,7.0,8.0,17.8,29.7,No,0.2,No
2008-12-06,Albury,14.6,29.7,0.2,,,WNW,56.0,W,W,19.0,24.0,55,23,1009.2,1005.4,,,20.6,28.9,No,0.0,No
2008-12-07,Albury,14.3,25.0,0.0,,,W,50.0,SW,W,20.0,24.0,49,19,1009.6,1008.2,1.0,,18.1,24.6,No,0.0,No
2008-12-08,Albury,7.7,26.7,0.0,,,W,35.0,SSE,W,6.0,17.0,48,19,1013.4,1010.1,,,16.3,25.5,No,0.0,No
2008-12-09,Albury,9.7,31.9,0.0,,,NNW,80.0,SE,NW,7.0,28.0,42,9,1008.9,1003.6,,,18.3,30.2,No,1.4,Yes
2008-12-10,Albury,13.1,30.1,1.4,,,W,28.0,S,SSE,15.0,11.0,58,27,1007.0,1005.7,,,20.1,28.2,Yes,0.0,No
2008-12-11,Albury,13.4,30.4,0.0,,,N,30.0,SSE,ESE,17.0,6.0,48,22,1011.8,1008.7,,,20.4,28.8,No,2.2,Yes
2008-12-12,Albury,15.9,21.7,2.2,,,NNE,31.0,NE,ENE,15.0,13.0,89,91,1010.5,1004.2,8.0,8.0,15.9,17.0,Yes,15.6,Yes
2008-12-13,Albury,15.9,18.6,15.6,,,W,61.0,NNW,NNW,28.0,28.0,76,93,994.3,993.0,8.0,8.0,17.4,15.8,Yes,3.6,Yes
2008-12-14,Albury,12.6,21.0,3.6,,,SW,44.0,W,SSW,24.0,20.0,65,43,1001.2,1001.8,,7.0,15.8,19.8,Yes,0.0,No
2008-12-15,Albury,8.4,24.6,0.0,,,,,S,WNW,4.0,30.0,57,32,1009.7,1008.7,,,15.9,23.5,No,,
2008-12-16,Albury,9.8,27.7,,,,WNW,50.0,,WNW,,22.0,50,28,1013.4,1010.3,0.0,,17.3,26.2,,0.0,No
2008-12-17,Albury,14.1,20.9,0.0,,,ENE,22.0,SSW,E,11.0,9.0,69,82,1012.2,1010.4,8.0,1.0,17.2,18.1,No,16.8,Yes
2008-12-18,Albury,13.5,22.9,16.8,,,W,63.0,N,WNW,6.0,20.0,80,65,1005.8,1002.2,8.0,1.0,18.0,21.5,Yes,10.6,Yes
2008-12-19,Albury,11.2,22.5,10.6,,,SSE,43.0,WSW,SW,24.0,17.0,47,32,1009.4,1009.7,,2.0,15.5,21.0,Yes,0.0,No
2008-12-20,Albury,9.8,25.6,0.0,,,SSE,26.0,SE,NNW,17.0,6.0,45,26,1019.2,1017.1,,,15.8,23.2,No,0.0,No
2008-12-21,Albury,11.5,29.3,0.0,,,S,24.0,SE,SE,9.0,9.0,56,28,1019.3,1014.8,,,19.1,27.3,No,0.0,No
2008-12-22,Albury,17.1,33.0,0.0,,,NE,43.0,NE,N,17.0,22.0,38,28,1013.6,1008.1,,1.0,24.5,31.6,No,0.0,No
2008-12-23,Albury,20.5,31.8,0.0,,,WNW,41.0,W,W,19.0,20.0,54,24,1007.8,1005.7,,,23.8,30.8,No,0.0,No
2008-12-24,Albury,15.3,30.9,0.0,,,N,33.0,ESE,NW,6.0,13.0,55,23,1011.0,1008.2,5.0,,20.9,29.0,No,0.0,No
2008-12-25,Albury,12.6,32.4,0.0,,,W,43.0,E,W,4.0,19.0,49,17,1012.9,1010.1,,,21.5,31.2,No,0.0,No
2008-12-26,Albury,16.2,33.9,0.0,,,WSW,35.0,SE,WSW,9.0,13.0,45,19,1010.9,1007.6,,1.0,23.2,33.0,No,0.0,No
2008-12-27,Albury,16.9,33.0,0.0,,,WSW,57.0,,W,0.0,26.0,41,28,1006.8,1003.6,,1.0,26.6,31.2,No,0.0,No
2008-12-28,Albury,20.1,32.7,0.0,,,WNW,48.0,N,WNW,13.0,30.0,56,15,1005.2,1001.7,,,24.6,32.1,No,0.0,No
2008-12-29,Albury,19.7,27.2,0.0,,,WNW,46.0,NW,WSW,19.0,30.0,49,22,1004.8,1004.2,,,21.6,26.1,No,1.2,Yes
2008-12-30,Albury,12.5,24.2,1.2,,,WNW,50.0,WSW,SW,11.0,22.0,78,70,1005.6,1003.4,8.0,8.0,12.5,18.2,Yes,0.8,No
2008-12-31,Albury,12.0,24.4,0.8,,,W,39.0,WNW,WNW,17.0,17.0,48,28,1006.1,1005.1,1.0,,16.9,22.7,No,0.0,No
2009-01-01,Albury,11.3,26.5,0.0,,,WNW,56.0,W,WNW,19.0,31.0,46,26,1004.5,1003.2,,,19.7,25.7,No,0.0,No
2009-01-02,Albury,9.6,23.9,0.0,,,W,41.0,WSW,SSW,19.0,11.0,44,22,1014.4,1013.1,,,14.9,22.1,No,0.0,No
2009-01-03,Albury,10.5,28.8,0.0,,,SSE,26.0,SSE,E,11.0,7.0,43,22,1018.7,1014.8,,,17.1,26.5,No,0.0,No
2009-01-04,Albury,12.3,34.6,0.0,,,WNW,37.0,SSE,NW,6.0,17.0,41,12,1015.1,1010.3,,,20.7,33.9,No,0.0,No
2009-01-05,Albury,12.9,35.8,0.0,,,WNW,41.0,ENE,NW,6.0,26.0,41,9,1012.6,1009.2,,,22.4,34.4,No,0.0,No
2009-01-06,Albury,13.7,37.9,0.0,,,W,52.0,SE,WNW,4.0,26.0,33,8,1010.9,1006.7,,,23.1,36.8,No,0.0,No
2009-01-07,Albury,16.1,38.9,0.0,,,W,57.0,E,W,6.0,30.0,34,12,1007.0,1002.7,,,25.2,38.4,No,0.0,No
2009-01-08,Albury,14.0,28.3,0.0,,,W,48.0,W,WSW,17.0,24.0,43,15,1011.9,1010.9,,,17.9,27.6,No,0.0,No
2009-01-09,Albury,12.5,28.4,0.0,,,NE,37.0,SSE,S,20.0,9.0,38,16,1017.8,1013.7,,,17.2,26.6,No,0.0,No
2009-01-10,Albury,17.0,30.8,0.0,,,NE,37.0,NNE,E,15.0,11.0,36,24,1013.4,1008.1,,,20.2,29.3,No,0.0,No
2009-01-11,Albury,16.9,32.0,0.0,,,S,31.0,SSE,N,13.0,17.0,52,31,1009.9,1006.8,,,22.8,30.0,No,0.0,No
2009-01-12,Albury,17.3,34.7,0.0,,,SW,35.0,SE,WSW,7.0,15.0,48,16,1014.1,1012.1,,,24.2,33.2,No,0.0,No
2009-01-13,Albury,17.2,37.7,0.0,,,NNW,35.0,SE,NW,7.0,17.0,51,19,1015.7,1010.9,,,24.3,35.7,No,0.0,No
2009-01-14,Albury,17.4,43.0,0.0,,,NW,39.0,SSE,SSW,7.0,17.0,40,8,1011.6,1006.9,,,25.6,41.5,No,0.0,No
2009-01-15,Albury,19.8,32.7,0.0,,,WNW,44.0,W,W,20.0,28.0,34,28,1008.4,1009.2,,,27.6,27.1,No,0.0,No
2009-01-16,Albury,14.9,26.7,0.0,,,SW,56.0,WSW,SW,20.0,31.0,46,20,1014.1,1012.7,,,18.0,25.5,No,0.0,No
2009-01-17,Albury,10.5,28.4,0.0,,,SE,33.0,SE,SW,19.0,11.0,35,16,1019.7,1017.4,,,16.0,25.8,No,0.0,No
2009-01-18,Albury,11.3,32.2,0.0,,,WNW,28.0,ENE,SSW,17.0,15.0,34,17,1019.7,1016.2,,,20.9,30.5,No,0.0,No
2009-01-19,Albury,13.9,36.6,0.0,,,WNW,39.0,SSE,NNE,2.0,15.0,39,10,1015.8,1010.6,,,22.0,34.4,No,0.0,No
2009-01-20,Albury,18.6,39.9,0.0,,,NNW,61.0,SSE,WNW,9.0,20.0,36,21,1010.1,1004.8,,,26.8,37.7,No,0.8,No
2009-01-21,Albury,19.3,38.1,0.8,,,NNW,61.0,NE,WSW,15.0,17.0,48,17,1009.6,1005.9,,,27.3,36.1,No,0.6,No
2009-01-22,Albury,24.4,34.0,0.6,,,NW,98.0,N,NNW,26.0,48.0,60,39,1005.3,997.8,4.0,1.0,26.1,33.1,No,6.4,Yes
2009-01-23,Albury,18.8,35.2,6.4,,,WNW,52.0,S,NW,6.0,28.0,43,28,1007.9,1003.9,,,22.8,33.0,Yes,0.0,No
2009-01-24,Albury,20.8,30.6,0.0,,,W,54.0,W,W,30.0,28.0,41,21,1005.4,1007.6,,,23.3,29.7,No,0.0,No
2009-01-25,Albury,14.0,34.3,0.0,,,WSW,24.0,ESE,SSE,7.0,13.0,44,10,1016.5,1014.6,,,21.2,32.1,No,0.0,No
2009-01-26,Albury,15.7,38.4,0.0,,,S,33.0,SSE,WSW,7.0,7.0,48,12,1017.7,1014.6,,,23.4,36.5,No,0.0,No
2009-01-27,Albury,18.5,38.2,0.0,,,NNE,31.0,SE,NNW,9.0,17.0,48,25,1017.8,1014.1,,,25.8,36.2,No,0.0,No
2009-01-28,Albury,20.4,40.7,0.0,,,N,37.0,E,NNE,7.0,13.0,45,15,1014.9,1011.6,,,28.2,39.2,No,0.0,No
2009-01-29,Albury,21.8,41.5,0.0,,,SW,24.0,ESE,S,6.0,11.0,38,13,1015.7,1011.8,,,29.0,40.1,No,0.0,No
2009-01-30,Albury,22.3,42.9,0.0,,,NNE,28.0,ESE,SE,9.0,11.0,37,11,1014.6,1010.2,,,29.2,41.2,No,0.0,No
2009-01-31,Albury,22.0,42.7,0.0,,,ESE,48.0,ESE,SW,4.0,4.0,33,11,1014.2,1010.5,,,29.9,42.0,No,0.0,No
2009-02-01,Albury,28.0,43.1,0.0,,,SW,83.0,SE,E,15.0,9.0,27,9,1012.5,1008.7,,,32.4,41.9,No,0.2,No
2009-02-02,Albury,24.4,38.3,0.2,,,SW,56.0,NE,NW,19.0,7.0,32,21,1011.7,1007.4,,,28.8,37.1,No,0.0,No
2009-02-03,Albury,21.5,37.7,0.0,,,,,N,,13.0,9.0,51,21,1009.2,1005.7,,,27.2,36.2,No,0.0,No
2009-02-04,Albury,21.7,36.9,0.0,,,,,,,11.0,11.0,53,26,1008.8,1004.7,,,25.5,35.2,No,0.0,No
2009-02-05,Albury,21.5,41.2,0.0,,,WSW,35.0,SSE,S,7.0,19.0,48,15,1005.9,1002.6,,,26.5,39.7,No,0.0,No
2009-02-06,Albury,23.5,42.2,0.0,,,W,37.0,SE,W,6.0,15.0,39,8,1008.0,1005.0,,,28.7,41.6,No,0.0,No
2009-02-07,Albury,22.3,44.8,0.0,,,NNW,59.0,SE,NW,9.0,33.0,36,11,1008.2,1003.8,,,29.6,43.4,No,0.0,No
2009-02-08,Albury,28.3,40.2,0.0,,,NW,52.0,N,W,9.0,22.0,20,19,1007.0,1006.5,,5.0,34.5,38.5,No,0.4,No
2009-02-09,Albury,18.4,31.2,0.4,,,SE,37.0,SW,WSW,7.0,11.0,66,31,1009.3,1007.8,7.0,8.0,18.7,29.4,No,0.0,No
2009-02-10,Albury,14.9,27.3,0.0,,,SSE,41.0,SSE,SE,20.0,13.0,50,30,1011.6,1008.5,,1.0,17.4,25.8,No,0.0,No
2009-02-11,Albury,13.5,26.7,0.0,,,SSE,46.0,SSE,E,19.0,11.0,45,24,1012.8,1011.1,,,16.7,24.9,No,0.0,No
2009-02-12,Albury,16.1,21.6,0.0,,,SE,46.0,SSE,NE,11.0,15.0,58,69,1017.0,1017.3,2.0,8.0,17.0,17.3,No,3.0,Yes
