Valor_Real_Logistica,Prediccion_Logistica,Prob_Logistica_No,Prob_Logistica_Yes,Umbral_Logistica,Prediccion_RedNeuronal,Prob_RedNeuronal_No,Prob_RedNeuronal_Yes,Umbral_RedNeuronal
No,No,0.9348,0.0652,0.58,No,0.9983,0.0017,0.65
No,No,0.8238,0.1762,0.58,No,0.9917,0.0083,0.65
No,No,0.9514,0.0486,0.58,No,0.9996,0.0004,0.65
No,No,0.977,0.023,0.58,No,0.9997,0.0003,0.65
No,No,0.4645,0.5355,0.58,No,0.9481,0.0519,0.65
No,No,0.7572,0.2428,0.58,No,0.981,0.019,0.65
No,No,0.9248,0.0752,0.58,No,0.9772,0.0228,0.65
No,No,0.9408,0.0592,0.58,No,0.9991,0.0009,0.65
Yes,No,0.6032,0.3968,0.58,Yes,0.1595,0.8405,0.65
No,No,0.8761,0.1239,0.58,No,1.0,0.0,0.65
Yes,No,0.9203,0.0797,0.58,No,0.9986,0.0014,0.65
Yes,Yes,0.0237,0.9763,0.58,Yes,0.0001,0.9999,0.65
Yes,Yes,0.0073,0.9927,0.58,Yes,0.0003,0.9997,0.65
No,No,0.4422,0.5578,0.58,Yes,0.0613,0.9387,0.65
,No,0.8912,0.1088,0.58,No,0.9972,0.0028,0.65
No,No,0.823,0.177,0.58,No,0.9665,0.0335,0.65
Yes,No,0.4443,0.5557,0.58,No,0.8038,0.1962,0.65
Yes,Yes,0.1093,0.8907,0.58,Yes,0.0268,0.9732,0.65
No,No,0.9178,0.0822,0.58,No,0.9912,0.0088,0.65
No,No,0.9719,0.0281,0.58,No,1.0,0.0,0.65
No,No,0.8999,0.1001,0.58,No,0.9966,0.0034,0.65
No,No,0.8684,0.1316,0.58,No,0.4,0.6,0.65
No,No,0.8612,0.1388,0.58,No,0.9441,0.0559,0.65
No,No,0.9179,0.0821,0.58,No,0.9979,0.0021,0.65
No,No,0.9132,0.0868,0.58,No,0.9981,0.0019,0.65
No,No,0.9279,0.0721,0.58,No,0.9771,0.0229,0.65
No,No,0.6807,0.3193,0.58,No,0.969,0.031,0.65
No,No,0.8312,0.1688,0.58,No,0.89,0.11,0.65
Yes,No,0.9331,0.0669,0.58,Yes,0.2709,0.7291,0.65
No,Yes,0.0842,0.9158,0.58,No,0.5762,0.4238,0.65
No,No,0.903,0.097,0.58,No,1.0,0.0,0.65
No,No,0.7842,0.2158,0.58,No,0.9946,0.0054,0.65
No,No,0.9373,0.0627,0.58,No,0.9961,0.0039,0.65
No,No,0.9735,0.0265,0.58,No,1.0,0.0,0.65
No,No,0.9396,0.0604,0.58,No,0.9999,0.0001,0.65
No,No,0.9623,0.0377,0.58,No,1.0,0.0,0.65
No,No,0.8649,0.1351,0.58,No,0.9998,0.0002,0.65
No,No,0.6984,0.3016,0.58,No,0.9935,0.0065,0.65
No,No,0.9268,0.0732,0.58,No,0.9994,0.0006,0.65
No,No,0.9638,0.0362,0.58,No,1.0,0.0,0.65
No,No,0.8646,0.1354,0.58,No,0.9974,0.0026,0.65
No,No,0.9297,0.0703,0.58,No,0.9995,0.0005,0.65
No,No,0.9511,0.0489,0.58,No,0.9991,0.0009,0.65
No,No,0.9092,0.0908,0.58,No,0.9891,0.0109,0.65
No,No,0.8992,0.1008,0.58,No,1.0,0.0,0.65
No,No,0.974,0.026,0.58,No,0.9976,0.0024,0.65
No,No,0.8729,0.1271,0.58,No,0.9765,0.0235,0.65
No,No,0.9762,0.0238,0.58,No,1.0,0.0,0.65
No,No,0.9677,0.0323,0.58,No,0.9989,0.0011,0.65
